name,major,tail,minor
06-06,49,33,19
06-07,3,2,2
06-08,0,0,0
06-09,0,0,4
06-10,0,0,0
06-13,6,5,2
06-15,8,8,15
06-16,13,11,28
06-17,3,2,2
06-18,0,0,7
06-19,7,5,33
06-20,4,3,6
06-21,5,4,0
06-23,12,8,10
06-24,1,1,5
06-25,0,0,12
